PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
68.0,64.0,17.0,4.0,28.0,31.0,40.0,68.0
67.0,70.0,23.0,2.0,13.0,49.0,77.0,77.0
32.0,141.6742671009772,26.0,5.0,6.0,19.0,16.0,32.0
93.0,93.0,31.0,3.0,9.0,57.0,61.0,93.0
60.0,55.0,20.0,5.0,18.0,29.0,53.0,60.0
48.0,52.0,25.0,3.0,12.0,43.0,67.0,67.0
36.0,41.0,31.0,5.0,5.0,33.0,14.0,41.0
27.0,43.0,23.0,3.0,11.0,44.0,61.0,61.0
54.0,54.0,15.0,5.0,21.0,30.0,51.0,54.0
48.0,53.0,24.0,3.0,13.0,39.0,69.0,69.0
24.0,35.0,29.0,5.0,6.0,16.0,16.0,35.0
53.0,63.0,24.0,3.0,12.0,48.0,59.0,63.0
59.0,57.0,15.0,5.0,20.0,30.0,63.0,63.0
55.0,58.0,24.0,3.0,14.0,43.0,82.0,82.0
22.0,34.0,26.0,4.0,6.0,17.0,15.0,34.0
65.0,72.0,25.0,3.0,12.0,50.0,70.0,72.0
66.0,61.0,15.0,5.0,23.0,36.0,57.0,66.0
74.0,70.0,22.0,3.0,13.0,48.0,82.0,82.0
20.0,30.0,23.0,4.0,5.0,16.0,14.0,30.0
83.0,86.0,27.0,3.0,12.0,55.0,77.0,86.0
69.0,63.0,15.0,5.0,24.0,37.0,54.0,69.0
78.0,72.0,22.0,3.0,14.0,48.0,80.0,80.0
19.0,30.0,22.0,4.0,5.0,16.0,14.0,30.0
85.0,88.0,28.0,3.0,12.0,55.0,76.0,88.0
131.0,94.0,15.0,5.0,26.0,34.0,60.0,131.0
109.0,90.0,21.0,3.0,17.0,42.0,86.0,109.0
23.0,33.0,25.0,4.0,5.0,25.0,19.0,33.0
99.0,102.0,32.0,3.0,13.0,50.0,68.0,102.0
132.0,95.0,15.0,5.0,26.0,33.0,63.0,132.0
110.0,90.0,21.0,3.0,17.0,44.0,89.0,110.0
23.0,34.0,25.0,4.0,6.0,27.0,20.0,34.0
99.0,102.0,32.0,3.0,13.0,50.0,70.0,102.0
142.0,98.0,13.0,3.0,15.0,33.0,18.0,142.0
225.0,157.0,11.0,4.0,16.0,36.0,18.0,225.0
141.0,104.0,11.0,4.0,15.0,27.0,19.0,141.0
144.0,106.0,12.0,4.0,15.0,26.0,20.0,144.0
168.0,132.0,13.0,4.0,15.0,50.0,20.0,168.0
177.0,147.0,13.0,4.0,15.0,60.0,19.0,177.0
224.0,207.0,16.0,4.0,16.0,46.0,19.0,224.0
224.0,206.0,16.0,4.0,16.0,39.0,21.0,224.0
98.0,141.6742671009772,6.0,8.402852049910873,18.0,65.0,24.0,98.0
366.0,141.6742671009772,30.0,8.402852049910873,15.0,33.0,25.0,366.0
368.0,141.6742671009772,5.0,8.402852049910873,13.0,87.0,36.0,368.0
276.0,171.0,51.0,11.0,8.0,90.0,9.0,276.0
245.0,170.0,79.0,10.0,10.0,57.0,5.0,245.0
311.0,181.0,24.0,4.0,16.427413411938097,48.0,43.0,311.0
98.0,141.6742671009772,6.0,8.402852049910873,18.0,42.0,34.0,98.0
271.0,141.6742671009772,30.0,8.402852049910873,20.0,42.0,50.0,271.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,51.29509283819629,29.813642756680732,239.0
110.0,115.0,36.0,9.0,7.0,119.0,11.0,119.0
114.0,107.0,62.0,7.0,10.0,42.0,4.0,114.0
182.0,105.0,19.0,4.0,16.427413411938097,47.0,32.0,182.0
121.0,141.6742671009772,9.0,8.402852049910873,18.0,44.0,29.0,121.0
310.0,141.6742671009772,30.0,8.402852049910873,21.0,79.0,38.0,310.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,56.0,40.0,239.0
107.0,112.0,33.0,13.0,7.0,109.0,17.0,112.0
110.0,115.0,76.0,7.0,9.0,50.0,3.0,115.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,48.0,50.0,239.0
122.0,141.6742671009772,9.0,8.402852049910873,18.0,54.0,29.0,122.0
327.0,141.6742671009772,30.0,8.402852049910873,23.0,68.0,40.0,327.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,74.0,31.0,239.0
121.0,116.0,35.0,13.0,7.0,105.0,21.0,121.0
125.0,123.0,82.0,7.0,9.0,65.0,3.0,125.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,63.0,34.0,239.0
149.0,141.6742671009772,12.0,8.402852049910873,18.0,51.0,57.0,149.0
359.0,141.6742671009772,30.0,8.402852049910873,24.0,71.0,22.0,359.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,106.0,150.0,239.0
156.0,129.0,38.0,13.0,7.0,115.0,15.0,156.0
172.0,150.0,89.0,7.0,10.0,97.0,4.0,172.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,90.0,14.0,239.0
151.0,141.6742671009772,12.0,8.402852049910873,18.0,53.0,61.0,151.0
365.0,141.6742671009772,30.0,8.402852049910873,23.0,80.0,17.0,365.0
381.0,141.6742671009772,5.0,8.402852049910873,10.0,106.0,57.0,381.0
164.0,132.0,39.0,14.0,7.0,118.0,12.0,164.0
181.0,156.0,89.0,7.0,10.0,99.0,4.0,181.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,95.0,10.0,239.0
170.0,141.6742671009772,12.0,8.402852049910873,18.0,43.0,47.0,170.0
396.0,141.6742671009772,30.0,8.402852049910873,22.0,44.0,35.0,396.0
395.0,141.6742671009772,5.0,8.402852049910873,9.0,68.0,39.0,395.0
246.0,164.0,44.0,14.0,7.0,122.0,8.0,246.0
284.0,195.0,96.0,8.0,10.0,79.0,3.0,284.0
337.0,195.0,26.0,4.0,16.427413411938097,95.0,16.0,337.0
174.0,141.6742671009772,12.0,8.402852049910873,18.0,41.0,49.0,174.0
395.0,141.6742671009772,30.0,8.402852049910873,24.0,45.0,41.0,395.0
398.0,141.6742671009772,5.0,8.402852049910873,9.0,71.0,41.0,398.0
253.0,167.0,45.0,14.0,7.0,115.0,10.0,253.0
290.0,198.0,97.0,8.0,10.0,81.0,4.0,290.0
339.0,198.0,27.0,4.0,16.427413411938097,93.0,22.0,339.0
85.0,91.0,14.0,11.0,14.0,37.0,10.0,91.0
103.0,105.0,17.0,9.0,11.0,25.0,14.0,105.0
68.0,82.0,17.0,9.0,11.0,25.0,7.0,82.0
68.0,78.0,17.0,9.0,12.0,26.0,8.0,78.0
63.0,65.0,15.0,10.0,12.0,33.0,8.0,65.0
62.0,64.0,15.0,10.0,12.0,36.0,8.0,64.0
55.0,52.0,13.0,10.0,12.0,40.0,8.0,55.0
54.0,51.0,13.0,10.0,12.0,40.0,8.0,54.0
355.0,288.0,61.0,4.0,15.0,74.0,47.0,355.0
375.0,141.6742671009772,64.0,14.0,24.0,39.0,63.0,375.0
335.0,286.0,52.0,12.0,21.0,160.0,20.0,335.0
300.0,246.0,12.0,8.402852049910873,16.427413411938097,82.0,38.0,300.0
182.89870689655172,141.6742671009772,46.5886925795053,8.402852049910873,16.427413411938097,71.0,45.0,306.0
